comparison,region,metric_group,quantity,metric,value,unit,reference,notes
learned_correction_snapshot,near-cylinder,learned_correction_snapshot,v,relative_to_reference_rms,1.88979772064,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,near-cylinder,learned_correction_snapshot,v,relative_to_prior_rms,0.852937654247,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,near-cylinder,learned_correction_snapshot,p,rms_abs_per_node,0.302838193286,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,near-cylinder,learned_correction_snapshot,p,relative_to_reference_rms,0.773187647937,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,near-cylinder,learned_correction_snapshot,p,relative_to_prior_rms,0.831805666666,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,near-wake,learned_correction_snapshot,u,rms_abs_per_node,0.507816863825,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,near-wake,learned_correction_snapshot,u,relative_to_reference_rms,0.557712031573,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,near-wake,learned_correction_snapshot,u,relative_to_prior_rms,0.510453827459,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,near-wake,learned_correction_snapshot,v,rms_abs_per_node,0.225932412146,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,near-wake,learned_correction_snapshot,v,relative_to_reference_rms,1.07086940921,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,near-wake,learned_correction_snapshot,v,relative_to_prior_rms,1.05819700913,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,near-wake,learned_correction_snapshot,p,rms_abs_per_node,0.248932169451,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,near-wake,learned_correction_snapshot,p,relative_to_reference_rms,1.01026530247,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,near-wake,learned_correction_snapshot,p,relative_to_prior_rms,5.88371630881,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-wake,learned_correction_snapshot,u,rms_abs_per_node,0.300972892488,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-wake,learned_correction_snapshot,u,relative_to_reference_rms,0.337826959518,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-wake,learned_correction_snapshot,u,relative_to_prior_rms,0.301540920107,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-wake,learned_correction_snapshot,v,rms_abs_per_node,0.151245982978,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-wake,learned_correction_snapshot,v,relative_to_reference_rms,0.571881066707,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-wake,learned_correction_snapshot,v,relative_to_prior_rms,0.668550372269,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-wake,learned_correction_snapshot,p,rms_abs_per_node,0.0994988133719,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-wake,learned_correction_snapshot,p,relative_to_reference_rms,1.13245909611,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-wake,learned_correction_snapshot,p,relative_to_prior_rms,3.21960710491,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-core,learned_correction_snapshot,u,rms_abs_per_node,0.33845595734,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-core,learned_correction_snapshot,u,relative_to_reference_rms,0.398467913431,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-core,learned_correction_snapshot,u,relative_to_prior_rms,0.339042633075,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-core,learned_correction_snapshot,v,rms_abs_per_node,0.156251632291,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-core,learned_correction_snapshot,v,relative_to_reference_rms,0.518222145053,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-core,learned_correction_snapshot,v,relative_to_prior_rms,0.604768338342,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-core,learned_correction_snapshot,p,rms_abs_per_node,0.104030617172,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-core,learned_correction_snapshot,p,relative_to_reference_rms,1.03630262121,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,far-core,learned_correction_snapshot,p,relative_to_prior_rms,3.06752290792,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,other,learned_correction_snapshot,u,rms_abs_per_node,0.123048802342,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,other,learned_correction_snapshot,u,relative_to_reference_rms,0.131743821979,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,other,learned_correction_snapshot,u,relative_to_prior_rms,0.122222347324,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,other,learned_correction_snapshot,v,rms_abs_per_node,0.154789804562,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,other,learned_correction_snapshot,v,relative_to_reference_rms,0.736258208258,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,other,learned_correction_snapshot,v,relative_to_prior_rms,1.08656794131,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,other,learned_correction_snapshot,p,rms_abs_per_node,0.171169075528,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,other,learned_correction_snapshot,p,relative_to_reference_rms,1.08424241899,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,other,learned_correction_snapshot,p,relative_to_prior_rms,3.26725337577,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,whole-domain,learned_correction_snapshot,u,rms_abs_per_node,0.566240375606,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,whole-domain,learned_correction_snapshot,u,relative_to_reference_rms,0.698140963112,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,whole-domain,learned_correction_snapshot,u,relative_to_prior_rms,0.543852034936,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,whole-domain,learned_correction_snapshot,v,rms_abs_per_node,0.290334909029,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,whole-domain,learned_correction_snapshot,v,relative_to_reference_rms,1.21331552915,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,whole-domain,learned_correction_snapshot,v,relative_to_prior_rms,0.862418633924,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,whole-domain,learned_correction_snapshot,p,rms_abs_per_node,0.222165261579,field_units,hybrid_minus_karman_prior,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,whole-domain,learned_correction_snapshot,p,relative_to_reference_rms,0.877199570583,ratio,CFD_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
learned_correction_snapshot,whole-domain,learned_correction_snapshot,p,relative_to_prior_rms,1.16509932907,ratio,Karman_prior_snapshot_rms,"Representative snapshot index 100, t=410; not time-averaged."
