result_id,analysis_id,analysis,analysis_status,method_family,method_id,method,observations,tap_count,collocation,prior_active,noise_percent,metric_group,quantity,metric,region,value,unit,reference,value_type,phase_convention,verification,source,notes
MP-0014,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,v,rel_L2,other,0.4498370885848999,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0015,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,p,rel_L2,other,0.680185079574585,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0016,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,u,rel_L2,whole-domain,0.16075393557548523,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0017,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,v,rel_L2,whole-domain,0.3884117901325226,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0018,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,p,rel_L2,whole-domain,0.37669020891189575,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0019,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,rel_L2,near-cylinder,0.3986498573379578,dimensionless,CFD,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0020,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,amp_ratio,near-cylinder,0.8003018055450682,dimensionless,ideal 1,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0021,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,corr,near-cylinder,0.9302835550571199,dimensionless,ideal 1,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0022,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,phase_deg,near-cylinder,5.735384414413716,degrees,ideal phase 0 deg (absolute-time convention),raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0023,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,learned_contribution,near-cylinder,0.9735604090794119,dimensionless,analytical Karman prior alone,derived_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv; derived/a04_prior_only_metrics.json,"prior-alone rel_L2 minus arm rel_L2; positive means the network improved on the prior. 201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0024,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,rel_L2,near-wake,0.38383140890066564,dimensionless,CFD,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0025,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,amp_ratio,near-wake,0.8580118281696177,dimensionless,ideal 1,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0026,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,corr,near-wake,0.9267508026289287,dimensionless,ideal 1,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0027,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,phase_deg,near-wake,-2.4624810598168367,degrees,ideal phase 0 deg (absolute-time convention),raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0028,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,learned_contribution,near-wake,0.3119909434000074,dimensionless,analytical Karman prior alone,derived_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv; derived/a04_prior_only_metrics.json,"prior-alone rel_L2 minus arm rel_L2; positive means the network improved on the prior. 201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0029,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,rel_L2,far-wake,0.29220088919846027,dimensionless,CFD,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0030,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,amp_ratio,far-wake,0.8405636591923411,dimensionless,ideal 1,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0031,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,corr,far-wake,0.9750197121464105,dimensionless,ideal 1,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0032,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,phase_deg,far-wake,-8.490988827110098,degrees,ideal phase 0 deg (absolute-time convention),raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0033,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,learned_contribution,far-wake,-0.00717044609794959,dimensionless,analytical Karman prior alone,derived_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv; derived/a04_prior_only_metrics.json,"prior-alone rel_L2 minus arm rel_L2; positive means the network improved on the prior. 201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0034,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,rel_L2,far-core,0.28949597842624675,dimensionless,CFD,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0035,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,amp_ratio,far-core,0.8387517940246538,dimensionless,ideal 1,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0036,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,corr,far-core,0.9765788676166026,dimensionless,ideal 1,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0037,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,phase_deg,far-core,-8.622994311329833,degrees,ideal phase 0 deg (absolute-time convention),raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0038,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,learned_contribution,far-core,-0.007567246742410272,dimensionless,analytical Karman prior alone,derived_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv; derived/a04_prior_only_metrics.json,"prior-alone rel_L2 minus arm rel_L2; positive means the network improved on the prior. 201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0039,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,rel_L2,other,11.281478849190037,dimensionless,CFD,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0040,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,amp_ratio,other,11.489159861210807,dimensionless,ideal 1,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0041,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,corr,other,0.35065447214748,dimensionless,ideal 1,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0042,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,phase_deg,other,-44.68182376443435,degrees,ideal phase 0 deg (absolute-time convention),raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0043,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,learned_contribution,other,-10.417805204770348,dimensionless,analytical Karman prior alone,derived_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv; derived/a04_prior_only_metrics.json,"prior-alone rel_L2 minus arm rel_L2; positive means the network improved on the prior. 201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0044,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,rel_L2,whole-domain,0.37069515802150554,dimensionless,CFD,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0045,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,amp_ratio,whole-domain,0.8647728395492775,dimensionless,ideal 1,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0046,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,corr,whole-domain,0.9371953098193957,dimensionless,ideal 1,raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0047,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,phase_deg,whole-domain,-6.52661607589164,degrees,ideal phase 0 deg (absolute-time convention),raw_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0048,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,v1_mode,v,learned_contribution,whole-domain,0.1077727753314035,dimensionless,analytical Karman prior alone,derived_metric,absolute time; prediction and CFD reference aligned,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv; derived/a04_prior_only_metrics.json,"prior-alone rel_L2 minus arm rel_L2; positive means the network improved on the prior. 201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0049,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_wake_biased_grid,Prior-assisted (wake-biased grid),cylinder pressure,32,wake-biased grid,True,,field,u,rel_L2,near-cylinder,0.054044514894485474,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 26129 L-BFGS evaluations, not a controlled budget."
MP-0050,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_wake_biased_grid,Prior-assisted (wake-biased grid),cylinder pressure,32,wake-biased grid,True,,field,v,rel_L2,near-cylinder,0.07710184901952744,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 26129 L-BFGS evaluations, not a controlled budget."
